subject;model;sL;sC;sR;noise_amp;S_amplitude;S_d;U_int_amplitude;U_int_baseline;U_int_onset;U_ext_amplitude;nll;n_trials;nll/trial;nll_eval
A87;spatial_reduced3;-0.0767679310055662;0.0;-0.0838113503260338;1.0;0.2179121075954424;0.0621334342509385;1.6536080753613192;-1.0;0.0;0.0;7348.872125740423;9996.0;0.7351812850880776;16802.47764259258
A96;spatial_reduced3;-0.1839244786514768;0.0;-0.1344353474457875;1.0;0.2278102216491425;4.886644683177455e-06;1.6693480668945997;-1.0;0.0;0.0;4899.816395802451;6884.0;0.7117687966011694;6954.562877593196
A86;spatial_reduced3;-0.1510353684425354;0.0;-0.0672402083873748;1.0;0.2162349474430084;5.960464455334602e-09;1.6583491563796997;-1.0;0.0;0.0;7350.831636735558;9996.0;0.7353773145993956;16450.474522500328
A86;spatial_reduced3;-0.139408158787333;0.0;-0.0684431767381745;1.0;0.1950186787433221;0.3194097722716534;1.4587625030079892;-1.0;0.0;0.0;7316.420862482659;9996.0;0.7319348601923428;16405.347276684915
A96;spatial_reduced3;-0.1838728263974189;0.0;-0.1384886065497994;1.0;0.2205069153755903;0.0938928151503205;1.5928322821855545;-1.0;0.0;0.0;4895.676101826657;6884.0;0.7111673593588984;6932.532115834154
A89;spatial_reduced3;-0.0140583013221657;0.0;0.0094146752944652;1.0;0.1841920477802523;0.4935869562666539;1.265182806939265;-1.0;0.0;0.0;7572.170790919459;9996.0;0.7575200871267966;17169.87292398148
A95;spatial_reduced3;-0.0614177438837941;0.0;-0.0498688097140984;1.0;0.1722598802123684;0.8561601397988853;1.1702349898405373;-1.0;0.0;0.0;3967.075586166023;5220.0;0.7599761659321883;3942.079595447985
A92;spatial_reduced3;-0.0677261352539062;0.0;0.0077619552612304;1.0;0.1745905303955078;3.814697265291933e-07;1.6971511840820312;-1.0;0.0;0.0;8108.682029786823;9996.0;0.8111926800507026;25336.927835164945
A84;spatial_reduced3;0.0998920463777608;0.0;0.1131594400982862;1.0;0.2717984863795163;0.0117124876433308;1.2476510380092805;-1.0;0.0;0.0;405.3100830641555;651.0;0.6225961337391022;401.9874099627498
A93;spatial_reduced3;-0.1161450147628784;0.0;-0.0950458645820617;1.0;0.1983618307113647;0.264377760887146;1.4402551651000977;-1.0;0.0;0.0;5389.847882109494;7409.0;0.7274730573774455;7575.896547261886
A83;spatial_reduced3;-0.00840317044441;0.0;-0.0442526021457183;1.0;0.2087903019717351;2.0892836482711008e-05;1.7889516668969918;-1.0;0.0;0.0;7071.483315739788;9451.0;0.7482259354290327;12929.316633437593
A92;spatial_reduced3;-0.0600965023040771;0.0;0.0174314975738525;1.0;0.1772731590270996;4.768371580921028e-08;1.6487045288085938;-1.0;0.0;0.0;8113.486474113459;9996.0;0.8116733167380411;25309.311327277417
A89;spatial_reduced3;0.0014668185613118;0.0;0.0132383949821814;1.0;0.2079896475700661;1.1641521080463235e-11;1.5899676359258592;-1.0;0.0;0.0;7590.487203684762;9996.0;0.7593524613530174;17261.878281164772
A95;spatial_reduced3;-0.0886597930416774;0.0;-0.0834018297442975;1.0;0.1943877740180506;0.321275046841418;1.400413896481389;-1.0;0.0;0.0;4002.475342761476;5220.0;0.766757728498367;3958.7267130281343
A83;spatial_reduced3;-0.004535689484328;0.0;-0.0366398992482572;1.0;0.1791936983540654;0.5272344822995365;1.3498484939336777;-1.0;0.0;0.0;7012.424586953904;9451.0;0.7419769957627662;12808.939027574615
A84;spatial_reduced3;0.0860565786715596;0.0;0.1341439030948095;1.0;0.2623826768994331;1.1641521080463235e-11;1.309984699357301;-1.0;0.0;0.0;404.1906902321226;651.0;0.6208766363012637;396.30108004652186
A87;spatial_reduced3;-0.0804085173003841;0.0;-0.0860009736934444;1.0;0.2208426694048103;0.0848911835986654;1.5911025641253218;-1.0;0.0;0.0;7354.590739521523;9996.0;0.7357533753022731;16798.13725500054
A96;spatial_reduced3;-0.1966432971677294;0.0;-0.1408975781663448;1.0;0.2309015784941715;0.0143387608606013;1.670152977543765;-1.0;0.0;0.0;4893.347983718852;6884.0;0.7108291667226688;6956.411259481219
A87;spatial_reduced3;-0.0921867080032825;0.0;-0.0971471189986914;1.0;0.223633931633085;0.0500568046234548;1.6772331297397614;-1.0;0.0;0.0;7354.644457528311;9996.0;0.7357587492525322;16826.53653891138
